location-to,date,partygroup,count
Melbourne,03/04/2014,Labor,2
Melbourne,03/04/2014,Coalition,10
Mount Isa,03/04/2014,Coalition,4
Perth,03/04/2014,Coalition,2
Perth,03/04/2014,Labor,2
Sydney,03/04/2014,Labor,4
Sydney,03/04/2014,Coalition,10
Townsville,03/04/2014,Coalition,4
Adelaide,04/04/2014,Coalition,2
Brisbane,04/04/2014,Labor,2
Cairns,04/04/2014,CLP,2
Hobart,04/04/2014,Coalition,3
Melbourne,04/04/2014,Coalition,2
Melbourne,04/04/2014,Labor,5
Perth,04/04/2014,Coalition,2
Perth,04/04/2014,Labor,2
Perth,04/04/2014,Greens,3
Sydney,04/04/2014,Labor,5
Sydney,04/04/2014,Coalition,7
Brisbane,05/04/2014,Coalition,2
Cairns,05/04/2014,Coalition,2
Horn Island,05/04/2014,CLP,2
Melbourne,05/04/2014,Labor,2
Melbourne,05/04/2014,Coalition,3
Sydney,05/04/2014,Coalition,3
Brisbane,06/04/2014,Coalition,2
Hobart,06/04/2014,Coalition,2
Horn Island,06/04/2014,Coalition,2
Melbourne,06/04/2014,Labor,3
Perth,06/04/2014,Coalition,6
Brisbane,07/04/2014,Coalition,2
Brisbane,07/04/2014,Labor,2
Melbourne,07/04/2014,Labor,2
Melbourne,07/04/2014,Coalition,4
Perth,07/04/2014,Coalition,3
Sydney,07/04/2014,Labor,2
Sydney,07/04/2014,Coalition,5
Adelaide,08/04/2014,Coalition,5
Karratha,08/04/2014,Labor,4
Karratha,08/04/2014,Coalition,6
Melbourne,08/04/2014,Coalition,6
Newcastle,08/04/2014,Coalition,2
Paraburdoo,08/04/2014,Labor,4
Paraburdoo,08/04/2014,Coalition,6
Perth,08/04/2014,Labor,2
Perth,08/04/2014,Coalition,6
Port Hedland,08/04/2014,Labor,3
Port Hedland,08/04/2014,Coalition,5
Sydney,08/04/2014,Labor,2
Sydney,08/04/2014,Coalition,7
Adelaide,09/04/2014,Coalition,3
Brisbane,09/04/2014,Labor,2
Brisbane,09/04/2014,Coalition,3
Melbourne,09/04/2014,Coalition,3
Perth,09/04/2014,Labor,7
Perth,09/04/2014,Coalition,13
Port Hedland,09/04/2014,Labor,3
Port Hedland,09/04/2014,Coalition,6
Sydney,09/04/2014,Labor,2
Sydney,09/04/2014,Coalition,6
Adelaide,10/04/2014,Coalition,4
Brisbane,10/04/2014,Coalition,5
Cairns,10/04/2014,Coalition,2
Devonport,10/04/2014,Coalition,2
Melbourne,10/04/2014,Labor,5
Melbourne,10/04/2014,Coalition,9
Perth,10/04/2014,Greens,2
Perth,10/04/2014,Labor,7
Perth,10/04/2014,Coalition,17
Sydney,10/04/2014,Coalition,3
Sydney,10/04/2014,Labor,4
Adelaide,11/04/2014,Coalition,2
Brisbane,11/04/2014,Labor,3
Melbourne,11/04/2014,Coalition,2
Melbourne,11/04/2014,Greens,2
Melbourne,11/04/2014,Labor,3
Sydney,11/04/2014,Coalition,2
Sydney,11/04/2014,Greens,2
Sydney,11/04/2014,Labor,6
Melbourne,12/04/2014,Greens,3
Sydney,12/04/2014,Coalition,3
Adelaide,13/04/2014,Coalition,2
Adelaide,13/04/2014,Labor,2
Brisbane,13/04/2014,Coalition,2
Hobart,13/04/2014,Coalition,3
Melbourne,13/04/2014,Coalition,2
Melbourne,13/04/2014,Labor,6
Sydney,13/04/2014,Coalition,4
Adelaide,14/04/2014,Coalition,2
Adelaide,14/04/2014,Labor,2
Melbourne,14/04/2014,Labor,2
Melbourne,14/04/2014,Coalition,6
Perth,14/04/2014,Coalition,2
Roma,14/04/2014,Coalition,2
Sydney,14/04/2014,Labor,3
Sydney,14/04/2014,Coalition,4
Bendigo,15/04/2014,Coalition,3
Hobart,15/04/2014,Coalition,4
Hobart,15/04/2014,Labor,6
Melbourne,15/04/2014,Labor,5
Melbourne,15/04/2014,Coalition,6
Sydney,15/04/2014,Greens,2
Sydney,15/04/2014,Labor,3
Sydney,15/04/2014,Coalition,10
Adelaide,16/04/2014,Labor,2
Brisbane,16/04/2014,Coalition,9
Hobart Airport,16/04/2014,Labor,2
Hobart Airport,16/04/2014,Coalition,4
Melbourne,16/04/2014,Coalition,7
Melbourne,16/04/2014,Labor,9
Melbourne Airport,16/04/2014,Coalition,3
Perth,16/04/2014,Labor,3
Perth,16/04/2014,Coalition,4
Port Macquarie,16/04/2014,Coalition,2
Roma,16/04/2014,Coalition,2
Sydney,16/04/2014,Labor,2
Sydney,16/04/2014,Coalition,11
Adelaide,17/04/2014,Coalition,3
Brisbane,17/04/2014,Coalition,4
Hobart,17/04/2014,Coalition,2
Melbourne,17/04/2014,Greens,2
Melbourne,17/04/2014,Labor,2
Melbourne,17/04/2014,Coalition,8
Perth,17/04/2014,Coalition,2
Melbourne,18/04/2014,Labor,3
Sydney,18/04/2014,Labor,3
Brisbane,22/04/2014,Coalition,2
Hobart,22/04/2014,Coalition,2
Melbourne,22/04/2014,Coalition,2
Sydney,22/04/2014,Coalition,2
Adelaide,23/04/2014,Coalition,8
Brisbane,23/04/2014,AUS,2
Brisbane,23/04/2014,CLP,2
Brisbane,23/04/2014,Coalition,7
Hobart,23/04/2014,Labor,2
Melbourne,23/04/2014,Labor,6
Melbourne,23/04/2014,Coalition,11
Perth,23/04/2014,Coalition,3
Sydney,23/04/2014,Labor,4
Sydney,23/04/2014,Coalition,14
Adelaide,24/04/2014,Coalition,9
Albury,24/04/2014,Coalition,2
Brisbane,24/04/2014,Coalition,15
Coffs Harbour,24/04/2014,Coalition,2
Coolangatta,24/04/2014,Coalition,4
Darwin,24/04/2014,CLP,2
Devonport,24/04/2014,Coalition,2
Geraldton,24/04/2014,Coalition,2
Hobart,24/04/2014,Coalition,2
Hobart,24/04/2014,Labor,2
Launceston,24/04/2014,Coalition,2
Melbourne,24/04/2014,Independent,4
Melbourne,24/04/2014,Labor,12
Melbourne,24/04/2014,Coalition,41
Perth,24/04/2014,Coalition,7
Rockhampton,24/04/2014,Coalition,2
Sydney,24/04/2014,CLP,2
Sydney,24/04/2014,Coalition,36
Tamworth,24/04/2014,Coalition,5
Townsville,24/04/2014,Coalition,2
Adelaide,25/04/2014,Labor,2
Alice Springs,25/04/2014,Labor,2
Melbourne,25/04/2014,Labor,5
Perth,25/04/2014,Coalition,3
Sydney,25/04/2014,Coalition,2
Sydney,25/04/2014,Labor,4
Adelaide,26/04/2014,Labor,3
Melbourne,26/04/2014,Labor,4
Perth,26/04/2014,Labor,2
Uluru,26/04/2014,Labor,2
Cairns,27/04/2014,Coalition,2
Cairns,27/04/2014,Labor,3
Melbourne,27/04/2014,Labor,2
Melbourne,27/04/2014,Coalition,3
Perth,27/04/2014,Labor,2
Sydney,27/04/2014,Labor,3
Sydney,27/04/2014,Coalition,8
Adelaide,28/04/2014,Labor,3
Brisbane,28/04/2014,Coalition,2
Bundaberg,28/04/2014,Coalition,2
Melbourne,28/04/2014,Independent,2
Melbourne,28/04/2014,Coalition,4
Melbourne,28/04/2014,Labor,6
Norfolk Island,28/04/2014,Labor,2
Norfolk Island,28/04/2014,Coalition,3
Perth,28/04/2014,Labor,2
Sydney,28/04/2014,Labor,4
Sydney,28/04/2014,Coalition,12
Adelaide,29/04/2014,Labor,2
Adelaide,29/04/2014,Coalition,3
Brisbane,29/04/2014,Labor,3
Brisbane,29/04/2014,Coalition,4
Cairns,29/04/2014,Labor,3
Cairns,29/04/2014,Coalition,6
Horn Island,29/04/2014,Coalition,3
Horn Island,29/04/2014,Labor,3
Melbourne,29/04/2014,Labor,4
Melbourne,29/04/2014,Coalition,10
Perth,29/04/2014,Coalition,2
Sydney,29/04/2014,Labor,2
Sydney,29/04/2014,Coalition,8
Townsville,29/04/2014,AUS,2
Adelaide,30/04/2014,Coalition,3
Brisbane,30/04/2014,Labor,2
Brisbane,30/04/2014,Coalition,8
Cairns,30/04/2014,Labor,3
Cairns,30/04/2014,Coalition,5
Launceston,30/04/2014,Labor,2
Melbourne,30/04/2014,Coalition,5
Melbourne,30/04/2014,Labor,5
Perth,30/04/2014,Labor,4
Perth,30/04/2014,Coalition,5
Sydney,30/04/2014,Greens,2
Sydney,30/04/2014,Labor,7
Sydney,30/04/2014,Coalition,15
Adelaide,01/05/2014,Greens,2
Brisbane,01/05/2014,Coalition,8
Broken Hill,01/05/2014,Coalition,2
Broome,01/05/2014,Coalition,2
Broome,01/05/2014,Labor,2
Cairns,01/05/2014,Labor,2
Melbourne,01/05/2014,Labor,7
Melbourne,01/05/2014,Coalition,8
Moree,01/05/2014,Coalition,2
Rockhampton,01/05/2014,Coalition,2
Sydney,01/05/2014,Labor,8
Sydney,01/05/2014,Coalition,9
Adelaide,02/05/2014,Coalition,3
Adelaide,02/05/2014,Labor,3
Brisbane,02/05/2014,Coalition,3
Brisbane,02/05/2014,Labor,3
Darwin,02/05/2014,Coalition,3
Melbourne,02/05/2014,Labor,3
Melbourne,02/05/2014,Coalition,9
Perth,02/05/2014,Labor,2
Perth,02/05/2014,Coalition,5
Sydney,02/05/2014,Labor,6
Sydney,02/05/2014,Coalition,8
Albury,03/05/2014,Coalition,2
Brisbane,03/05/2014,Coalition,6
Broome,03/05/2014,Coalition,2
Melbourne,03/05/2014,Coalition,3
Brisbane,04/05/2014,Coalition,3
Broome,04/05/2014,Coalition,2
Melbourne,04/05/2014,Labor,2
Newcastle,04/05/2014,Coalition,2
Perth,04/05/2014,Coalition,2
Perth,04/05/2014,Labor,2
Sydney,04/05/2014,Coalition,3
Sydney,04/05/2014,Labor,3
Adelaide,05/05/2014,Coalition,2
Brisbane,05/05/2014,Coalition,3
Brisbane,05/05/2014,Labor,6
Broome,05/05/2014,Labor,2
Launceston,05/05/2014,Greens,3
Melbourne,05/05/2014,Labor,3
Melbourne,05/05/2014,Coalition,4
Melbourne,05/05/2014,Greens,5
Newcastle,05/05/2014,Greens,2
Newcastle,05/05/2014,Labor,2
Perth,05/05/2014,Labor,3
Sydney,05/05/2014,Coalition,6
Adelaide,06/05/2014,Coalition,6
Brisbane,06/05/2014,Coalition,4
Brisbane,06/05/2014,Labor,5
Broome,06/05/2014,Labor,3
Darwin,06/05/2014,Labor,2
Fitzroy Crossing,06/05/2014,Labor,2
Fitzroy Crossing,06/05/2014,Coalition,3
Hobart,06/05/2014,Coalition,2
Kununurra,06/05/2014,Coalition,3
Kununurra,06/05/2014,Labor,4
Melbourne,06/05/2014,Coalition,5
Melbourne,06/05/2014,Labor,8
Mount Isa,06/05/2014,Coalition,4
Mount Isa,06/05/2014,Labor,4
Sydney,06/05/2014,Labor,3
Sydney,06/05/2014,Coalition,9
Townsville,06/05/2014,Coalition,2
Adelaide,07/05/2014,Labor,2
Adelaide,07/05/2014,Coalition,4
Brisbane,07/05/2014,Labor,4
Brisbane,07/05/2014,Coalition,10
Darwin,07/05/2014,Labor,3
Hobart,07/05/2014,Coalition,3
Melbourne,07/05/2014,Labor,3
Melbourne,07/05/2014,Coalition,9
Perth,07/05/2014,Coalition,4
Sydney,07/05/2014,Labor,3
Sydney,07/05/2014,Coalition,5
Adelaide,08/05/2014,Coalition,2
Adelaide,08/05/2014,Labor,2
Brisbane,08/05/2014,Labor,2
Darwin,08/05/2014,Labor,3
Hobart,08/05/2014,Labor,2
Melbourne,08/05/2014,Coalition,5
Melbourne,08/05/2014,Labor,10
Perth,08/05/2014,Labor,2
Perth,08/05/2014,Coalition,5
Sydney,08/05/2014,Labor,5
Sydney,08/05/2014,Coalition,12
Adelaide,09/05/2014,Labor,2
Adelaide,09/05/2014,Coalition,3
Brisbane,09/05/2014,Coalition,2
Brisbane,09/05/2014,Labor,5
Cairns,09/05/2014,Coalition,2
Melbourne,09/05/2014,Labor,4
Melbourne,09/05/2014,Coalition,7
Perth,09/05/2014,Coalition,2
Sydney,09/05/2014,Labor,5
Sydney,09/05/2014,Coalition,6
Wagga Wagga,09/05/2014,Coalition,2
Brisbane,10/05/2014,Labor,2
Brisbane,10/05/2014,Coalition,3
Sydney,10/05/2014,Coalition,4
Adelaide,11/05/2014,Coalition,2
Brisbane,11/05/2014,Coalition,8
Melbourne,11/05/2014,Labor,4
Melbourne,11/05/2014,Coalition,12
Sydney,11/05/2014,Labor,4
Sydney,11/05/2014,Coalition,5
Bungendore,12/05/2014,Coalition,5
Melbourne,12/05/2014,Labor,4
Melbourne,12/05/2014,Coalition,5
Sydney,12/05/2014,Coalition,9
Adelaide,14/05/2014,Coalition,3
Melbourne,14/05/2014,Coalition,2
Perth,14/05/2014,Coalition,2
Sydney,14/05/2014,Coalition,8
Adelaide,15/05/2014,Labor,2
Brisbane,15/05/2014,Coalition,2
Coolangatta,15/05/2014,Coalition,3
Launceston,15/05/2014,Labor,2
Melbourne,15/05/2014,Coalition,6
Melbourne,15/05/2014,Labor,6
Perth,15/05/2014,Coalition,5
Sydney,15/05/2014,Coalition,3
Adelaide,16/05/2014,Greens,2
Adelaide,16/05/2014,Labor,9
Adelaide,16/05/2014,Coalition,11
Ballina Airport,16/05/2014,Coalition,2
Brisbane,16/05/2014,Greens,2
Brisbane,16/05/2014,Labor,16
Brisbane,16/05/2014,Coalition,22
Darwin,16/05/2014,CLP,2
Devonport,16/05/2014,Coalition,2
Hobart,16/05/2014,Coalition,3
Hobart,16/05/2014,Labor,7
Launceston,16/05/2014,Coalition,3
Mackay,16/05/2014,Coalition,6
Melbourne,16/05/2014,Greens,4
Melbourne,16/05/2014,Coalition,27
Melbourne,16/05/2014,Labor,34
Perth,16/05/2014,Labor,6
Perth,16/05/2014,Coalition,16
Sydney,16/05/2014,Labor,17
Sydney,16/05/2014,Coalition,25
Tamworth,16/05/2014,Coalition,3
Brisbane,17/05/2014,Coalition,3
Alice Springs,18/05/2014,Coalition,2
Alice Springs,18/05/2014,Labor,2
Brisbane,18/05/2014,Coalition,4
Cairns,18/05/2014,Coalition,3
Melbourne,18/05/2014,Labor,2
Sydney,18/05/2014,Coalition,7
Alice Springs,19/05/2014,Coalition,2
Brisbane,19/05/2014,Labor,4
Brisbane,19/05/2014,Coalition,9
Darwin,19/05/2014,Labor,2
Darwin,19/05/2014,Coalition,5
Launceston,19/05/2014,Labor,2
Melbourne,19/05/2014,Coalition,6
Melbourne,19/05/2014,Labor,11
Perth,19/05/2014,Coalition,4
Sydney,19/05/2014,Labor,3
Sydney,19/05/2014,Coalition,5
Adelaide,20/05/2014,Coalition,2
Adelaide,20/05/2014,Labor,2
Albury,20/05/2014,Coalition,2
Brisbane,20/05/2014,Labor,2
Brisbane,20/05/2014,Coalition,5
Darwin,20/05/2014,Labor,2
Melbourne,20/05/2014,Coalition,4
Melbourne,20/05/2014,Labor,5
Rockhampton,20/05/2014,Coalition,3
Sydney,20/05/2014,Labor,5
Sydney,20/05/2014,Coalition,9
Adelaide,21/05/2014,Coalition,2
Adelaide,21/05/2014,Labor,2
Brisbane,21/05/2014,Labor,4
Brisbane,21/05/2014,Coalition,5
Gove,21/05/2014,Coalition,2
Gove,21/05/2014,Labor,3
Melbourne,21/05/2014,Coalition,6
Melbourne,21/05/2014,Labor,9
Nhulunbuy,21/05/2014,Coalition,2
Nhulunbuy,21/05/2014,Labor,3
Sydney,21/05/2014,Labor,5
Sydney,21/05/2014,Coalition,7
Tindal,21/05/2014,Greens,2
Tindal,21/05/2014,Coalition,4
Tindal,21/05/2014,Labor,4
Townsville,21/05/2014,Coalition,2
Adelaide,22/05/2014,Labor,2
Adelaide,22/05/2014,Coalition,3
Brisbane,22/05/2014,Coalition,3
Brisbane,22/05/2014,Labor,4
Cairns,22/05/2014,Coalition,3
Darwin,22/05/2014,Labor,2
Darwin,22/05/2014,Coalition,3
Darwin Airport,22/05/2014,Coalition,2
Hobart,22/05/2014,Coalition,2
Melbourne,22/05/2014,Labor,3
Melbourne,22/05/2014,Coalition,6
Perth,22/05/2014,Coalition,4
Sydney,22/05/2014,Labor,6
Sydney,22/05/2014,Coalition,18
Adelaide,23/05/2014,Coalition,3
Adelaide,23/05/2014,Labor,4
Alice Springs,23/05/2014,Labor,3
Brisbane,23/05/2014,Coalition,6
Melbourne,23/05/2014,Labor,5
Melbourne,23/05/2014,Coalition,6
Perth,23/05/2014,Labor,2
Perth,23/05/2014,Coalition,5
Sydney,23/05/2014,Greens,2
Sydney,23/05/2014,Coalition,5
Sydney,23/05/2014,Labor,8
Adelaide,24/05/2014,Coalition,3
Brisbane,24/05/2014,Coalition,4
Melbourne,24/05/2014,Coalition,3
Brisbane,25/05/2014,Coalition,6
Melbourne,25/05/2014,Labor,5
Melbourne,25/05/2014,Coalition,17
Perth,25/05/2014,Coalition,2
Sydney,25/05/2014,Labor,3
Sydney,25/05/2014,Coalition,5
Melbourne,26/05/2014,Labor,2
Melbourne,27/05/2014,Labor,2
Perth,27/05/2014,Coalition,2
Sydney,27/05/2014,Coalition,2
Melbourne,28/05/2014,Coalition,2
Melbourne,28/05/2014,Greens,2
Sydney,28/05/2014,Labor,2
Sydney,28/05/2014,Coalition,5
Adelaide,29/05/2014,Coalition,4
Adelaide,29/05/2014,Labor,4
Brisbane,29/05/2014,Labor,5
Brisbane,29/05/2014,Coalition,7
Hobart,29/05/2014,Coalition,2
Melbourne,29/05/2014,Greens,2
Melbourne,29/05/2014,Coalition,16
Melbourne,29/05/2014,Labor,22
Perth,29/05/2014,Labor,3
Perth,29/05/2014,Coalition,7
Sydney,29/05/2014,Labor,7
Sydney,29/05/2014,Coalition,10
Adelaide,30/05/2014,Labor,5
Adelaide,30/05/2014,Coalition,7
Brisbane,30/05/2014,Labor,7
Brisbane,30/05/2014,Coalition,12
Ceduna,30/05/2014,Coalition,2
Coolangatta,30/05/2014,Coalition,2
Hobart,30/05/2014,Labor,2
Launceston,30/05/2014,Labor,2
Mackay,30/05/2014,Coalition,2
Melbourne,30/05/2014,Labor,14
Melbourne,30/05/2014,Coalition,18
Perth,30/05/2014,Coalition,3
Sydney,30/05/2014,Coalition,9
Sydney,30/05/2014,Labor,10
Townsville,30/05/2014,Coalition,2
Brisbane,31/05/2014,Coalition,2
Cairns,31/05/2014,Coalition,2
Melbourne,31/05/2014,Labor,3
Melbourne,31/05/2014,Coalition,4
Sydney,31/05/2014,Coalition,3
Adelaide,01/06/2014,Coalition,2
Brisbane,01/06/2014,Coalition,5
Melbourne,01/06/2014,Labor,3
Melbourne,01/06/2014,Coalition,9
Perth,01/06/2014,Labor,3
Sydney,01/06/2014,CLP,2
Sydney,01/06/2014,Labor,3
Sydney,01/06/2014,Coalition,8
Melbourne,02/06/2014,Coalition,3
Melbourne,02/06/2014,Labor,3
Adelaide,03/06/2014,Coalition,2
Sydney,03/06/2014,Labor,2
Brisbane,04/06/2014,Labor,2
Melbourne,04/06/2014,Labor,3
Melbourne,04/06/2014,Coalition,4
Adelaide,05/06/2014,Coalition,4
Adelaide,05/06/2014,Labor,5
Brisbane,05/06/2014,AUS,2
Brisbane,05/06/2014,Labor,6
Brisbane,05/06/2014,Coalition,11
Hobart,05/06/2014,Coalition,2
Hobart,05/06/2014,Labor,3
Launceston,05/06/2014,Coalition,2
Melbourne,05/06/2014,Greens,4
Melbourne,05/06/2014,Labor,16
Melbourne,05/06/2014,Coalition,18
Perth,05/06/2014,Labor,2
Perth,05/06/2014,Coalition,6
Sydney,05/06/2014,Labor,9
Sydney,05/06/2014,Coalition,15
Adelaide,06/06/2014,Labor,4
Adelaide,06/06/2014,Coalition,5
Brisbane,06/06/2014,Labor,4
Brisbane,06/06/2014,Coalition,12
Darwin,06/06/2014,Coalition,2
Devonport,06/06/2014,Coalition,3
Melbourne,06/06/2014,Greens,2
Melbourne,06/06/2014,Labor,9
Melbourne,06/06/2014,Coalition,16
Perth,06/06/2014,Labor,4
Perth,06/06/2014,Coalition,12
Rockhampton,06/06/2014,Coalition,2
Sydney,06/06/2014,Labor,3
Sydney,06/06/2014,Coalition,11
Adelaide,07/06/2014,Coalition,2
Brisbane,07/06/2014,Coalition,2
Sydney,07/06/2014,Coalition,2
Albury,09/06/2014,Labor,2
Brisbane,09/06/2014,Coalition,2
Melbourne,09/06/2014,Coalition,2
Sydney,09/06/2014,Coalition,3
Sydney,09/06/2014,Labor,5
Townsville,09/06/2014,AUS,2
Adelaide,10/06/2014,Labor,3
Brisbane,10/06/2014,Coalition,2
Devonport,10/06/2014,Labor,2
Melbourne,10/06/2014,Labor,3
Melbourne,10/06/2014,Coalition,4
Sydney,10/06/2014,Coalition,3
Adelaide,11/06/2014,Labor,2
Adelaide,11/06/2014,Coalition,4
Brisbane,11/06/2014,Coalition,4
Melbourne,11/06/2014,Coalition,4
Melbourne,11/06/2014,Labor,6
Perth,11/06/2014,Coalition,4
Rockhampton,11/06/2014,Coalition,2
Sydney,11/06/2014,Labor,7
Sydney,11/06/2014,Coalition,11
Adelaide,12/06/2014,Labor,2
Brisbane,12/06/2014,Coalition,3
Brisbane,12/06/2014,Labor,3
Hobart,12/06/2014,Coalition,2
Hobart,12/06/2014,Labor,2
Melbourne,12/06/2014,Labor,2
Melbourne,12/06/2014,Coalition,5
Perth,12/06/2014,Coalition,4
Sydney,12/06/2014,Labor,2
Sydney,12/06/2014,Coalition,5
Adelaide,13/06/2014,Labor,2
Brisbane,13/06/2014,Coalition,5
Hobart,13/06/2014,Labor,4
Melbourne,13/06/2014,Greens,2
Melbourne,13/06/2014,Labor,5
Melbourne,13/06/2014,Coalition,6
Perth,13/06/2014,Greens,2
Perth,13/06/2014,Labor,2
Perth,13/06/2014,Coalition,4
Sydney,13/06/2014,Coalition,2
Sydney,13/06/2014,Labor,6
Adelaide,14/06/2014,Greens,2
Brisbane,14/06/2014,Coalition,4
Perth,14/06/2014,Coalition,2
Sydney,14/06/2014,Coalition,4
Sydney,14/06/2014,Labor,4
Adelaide,15/06/2014,Coalition,2
Adelaide,15/06/2014,Labor,2
Brisbane,15/06/2014,Coalition,6
Melbourne,15/06/2014,Labor,6
Melbourne,15/06/2014,Coalition,15
Sydney,15/06/2014,Coalition,8
Sydney,16/06/2014,Coalition,2
Darwin,17/06/2014,Labor,2
Melbourne,17/06/2014,Labor,4
Sydney,17/06/2014,Coalition,3
Sydney,17/06/2014,Labor,3
Melbourne,18/06/2014,Labor,6
Sydney,18/06/2014,Coalition,4
Adelaide,19/06/2014,Labor,3
Brisbane,19/06/2014,Labor,6
Brisbane,19/06/2014,Coalition,14
Cairns,19/06/2014,Independent,2
Coolangatta,19/06/2014,Coalition,3
Hobart,19/06/2014,Labor,2
Melbourne,19/06/2014,Greens,4
Melbourne,19/06/2014,Labor,25
Melbourne,19/06/2014,Coalition,30
Perth,19/06/2014,Coalition,8
Sydney,19/06/2014,Greens,2
Sydney,19/06/2014,Labor,11
Sydney,19/06/2014,Coalition,16
Adelaide,20/06/2014,Coalition,8
Adelaide,20/06/2014,Labor,11
Brisbane,20/06/2014,Labor,9
Brisbane,20/06/2014,Coalition,15
Cairns,20/06/2014,Coalition,2
Cairns,20/06/2014,Labor,2
Dubbo,20/06/2014,Coalition,2
Hobart,20/06/2014,Coalition,3
Hobart,20/06/2014,Labor,3
Launceston,20/06/2014,Greens,2
Maroochydore,20/06/2014,Coalition,2
Melbourne,20/06/2014,Greens,3
Melbourne,20/06/2014,Coalition,19
Melbourne,20/06/2014,Labor,21
Newcastle,20/06/2014,Labor,3
Perth,20/06/2014,Labor,4
Perth,20/06/2014,Coalition,12
Sydney,20/06/2014,Labor,10
Sydney,20/06/2014,Coalition,12
Brisbane,21/06/2014,Coalition,3
Cairns,21/06/2014,Coalition,3
Melbourne,21/06/2014,Labor,2
Melbourne,21/06/2014,Coalition,4
Brisbane,22/06/2014,Labor,4
Brisbane,22/06/2014,Coalition,14
Melbourne,22/06/2014,Greens,2
Melbourne,22/06/2014,Labor,5
Melbourne,22/06/2014,Coalition,13
Perth,22/06/2014,Coalition,2
Sydney,22/06/2014,Coalition,12
Adelaide,24/06/2014,Coalition,3
Brisbane,24/06/2014,Labor,2
Hobart,24/06/2014,Labor,2
Brisbane,25/06/2014,Labor,2
Melbourne,25/06/2014,Coalition,3
Sydney,25/06/2014,Coalition,2
Sydney,25/06/2014,Labor,2
Adelaide,26/06/2014,Coalition,2
Adelaide,26/06/2014,Labor,3
Brisbane,26/06/2014,Labor,2
Brisbane,26/06/2014,Coalition,5
Melbourne,26/06/2014,Labor,12
Melbourne,26/06/2014,Coalition,24
Perth,26/06/2014,Coalition,3
Perth,26/06/2014,Labor,3
Sydney,26/06/2014,Labor,5
Sydney,26/06/2014,Coalition,9
Adelaide,27/06/2014,Coalition,2
Adelaide,27/06/2014,Labor,7
Brisbane,27/06/2014,Coalition,9
Brisbane,27/06/2014,Labor,15
Hobart,27/06/2014,Labor,4
Melbourne,27/06/2014,Greens,2
Melbourne,27/06/2014,Labor,11
Melbourne,27/06/2014,Coalition,18
Newcastle,27/06/2014,Coalition,2
Perth,27/06/2014,Labor,4
Perth,27/06/2014,Coalition,6
Rockhampton,27/06/2014,Coalition,2
Sydney,27/06/2014,Labor,5
Sydney,27/06/2014,Coalition,11
Townsville,27/06/2014,Coalition,2
Adelaide,28/06/2014,Coalition,6
Brisbane,28/06/2014,Coalition,2
Coolangatta,28/06/2014,Coalition,3
Hobart,28/06/2014,Coalition,3
Melbourne,28/06/2014,Coalition,2
Perth,28/06/2014,Coalition,2
Perth,28/06/2014,Labor,2
Sydney,28/06/2014,Coalition,14
Townsville,28/06/2014,Coalition,2
Adelaide,29/06/2014,Coalition,2
Cairns,29/06/2014,Labor,3
Darwin,29/06/2014,Labor,2
Perth,29/06/2014,Coalition,5
Sydney,29/06/2014,Coalition,3
Brisbane,30/06/2014,Coalition,3
Cairns,30/06/2014,Greens,2
Darwin,30/06/2014,Coalition,3
Perth,30/06/2014,Coalition,3
Sydney,30/06/2014,Coalition,4
Brisbane,01/07/2014,Labor,5
Brisbane,01/07/2014,Coalition,6
Broome,01/07/2014,Labor,2
Broome,01/07/2014,Coalition,3
Cairns,01/07/2014,Labor,2
Coolangatta,01/07/2014,Coalition,6
Georgetown,01/07/2014,Coalition,2
Georgetown,01/07/2014,Greens,2
Melbourne,01/07/2014,Greens,2
Melbourne,01/07/2014,Independent,2
